frame,time,predictor,target,n,pearson,spearman
25,20.0,xi_translation,terminal_eta_translation,32,0.8648224020761023,0.39065509655681174
25,20.0,abs_alignment_velocity_identity,terminal_eta_raw,32,0.6554467608445255,0.12536656891495598
25,20.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.6302285085577197,0.10117302052785922
25,20.0,abs_alignment_velocity_identity,terminal_eta_translation,32,0.6400090441329143,0.10813782991202345
25,20.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.3910503854418238,0.41239002932551316
25,20.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.1462412272325286,0.14516129032258063
25,20.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.4154052908751559,0.4259530791788856
25,20.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.3114318232327389,0.3673020527859237
25,20.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.037905391100158656,0.1063049853372434
25,20.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.3427790704406274,0.3885630498533724
50,40.0,abs_displacement_drift_grid_points,terminal_eta_raw,32,0.49854437194240825,0.3647360703812316
50,40.0,abs_displacement_drift_grid_points,terminal_eta_shape,32,0.19700039672497896,0.3317448680351906
50,40.0,abs_displacement_drift_grid_points,terminal_eta_translation,32,0.5276201489167617,0.3706011730205278
50,40.0,eta_raw,terminal_eta_raw,32,0.780537666008412,0.748900293255132
50,40.0,eta_raw,terminal_eta_shape,32,0.3536346831193668,0.7173753665689149
50,40.0,eta_raw,terminal_eta_translation,32,0.8166047501776418,0.6931818181818181
50,40.0,eta_aligned,terminal_eta_raw,32,0.7626394500184208,0.689516129032258
50,40.0,eta_aligned,terminal_eta_shape,32,0.749606216973417,0.8280791788856304
50,40.0,eta_aligned,terminal_eta_translation,32,0.7314471829916753,0.6088709677419355
50,40.0,eta_translation,terminal_eta_raw,32,0.750965435428696,0.6675219941348973
50,40.0,eta_translation,terminal_eta_shape,32,0.29101984032421185,0.6033724340175952
50,40.0,eta_translation,terminal_eta_translation,32,0.7944377886155576,0.6422287390029325
50,40.0,q_raw,terminal_eta_raw,32,0.755207671003368,0.6392961876832844
50,40.0,q_raw,terminal_eta_shape,32,0.33005487438347225,0.6983137829912023
50,40.0,q_raw,terminal_eta_translation,32,0.7915401030306505,0.5835777126099706
50,40.0,q_aligned,terminal_eta_raw,32,0.6374562116319249,0.4541788856304985
50,40.0,q_aligned,terminal_eta_shape,32,0.6075859964896526,0.7969208211143693
50,40.0,q_aligned,terminal_eta_translation,32,0.6127110747784255,0.3570381231671554
50,40.0,q_translation,terminal_eta_raw,32,0.7437658678537796,0.6807808662081383
50,40.0,q_translation,terminal_eta_shape,32,0.28642834252063365,0.6168087277303137
50,40.0,q_translation,terminal_eta_translation,32,0.7866761411867718,0.6565851003655228
50,40.0,xi_raw,terminal_eta_raw,32,0.6607123363496876,0.6066715542521993
50,40.0,xi_raw,terminal_eta_shape,32,0.22489450405336908,0.5403225806451613
50,40.0,xi_raw,terminal_eta_translation,32,0.7056735599055397,0.56341642228739
50,40.0,xi_aligned,terminal_eta_raw,32,0.5831556199512222,0.5172287390029325
50,40.0,xi_aligned,terminal_eta_shape,32,0.264654287082978,0.44024926686217003
50,40.0,xi_aligned,terminal_eta_translation,32,0.6145449057267658,0.48057184750733134
50,40.0,xi_translation,terminal_eta_raw,32,0.6617910737339185,0.4612063099798389
50,40.0,xi_translation,terminal_eta_shape,32,0.20764493064591372,0.5905599764188979
50,40.0,xi_translation,terminal_eta_translation,32,0.7073223359666905,0.40257838921968986
50,40.0,abs_alignment_velocity_identity,terminal_eta_raw,32,0.03474307305858022,0.09494134897360704
50,40.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.029848509831027027,0.11070381231671556
50,40.0,abs_alignment_velocity_identity,terminal_eta_translation,32,0.03541500289186834,0.10923753665689148
50,40.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.49997192012253333,0.23423753665689148
50,40.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.5969281926712304,0.1228005865102639
50,40.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.4686647693015456,0.2441348973607038
50,40.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.5447398878277493,0.3024193548387097
50,40.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.6301470204979613,0.20197947214076245
50,40.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.5136486303667931,0.30645161290322576
100,80.0,abs_displacement_drift_grid_points,terminal_eta_raw,32,0.7322396597404733,0.5300586510263929
100,80.0,abs_displacement_drift_grid_points,terminal_eta_shape,32,0.5628360919312323,0.41239002932551316
100,80.0,abs_displacement_drift_grid_points,terminal_eta_translation,32,0.7348591907701529,0.5117302052785924
100,80.0,eta_raw,terminal_eta_raw,32,0.9780217448385418,0.8240469208211143
100,80.0,eta_raw,terminal_eta_shape,32,0.7316178848125379,0.7565982404692082
100,80.0,eta_raw,terminal_eta_translation,32,0.9816080225051778,0.7690615835777125
100,80.0,eta_aligned,terminal_eta_raw,32,0.8246714289015065,0.7327712609970675
100,80.0,eta_aligned,terminal_eta_shape,32,0.9856655343503927,0.8914956011730205
100,80.0,eta_aligned,terminal_eta_translation,32,0.7693519390162277,0.6429618768328444
100,80.0,eta_translation,terminal_eta_raw,32,0.9596204743500174,0.752932551319648
100,80.0,eta_translation,terminal_eta_shape,32,0.6560944589792833,0.6620234604105572
100,80.0,eta_translation,terminal_eta_translation,32,0.9736190147495101,0.7052785923753665
100,80.0,q_raw,terminal_eta_raw,32,0.9803886389903255,0.7565982404692082
100,80.0,q_raw,terminal_eta_shape,32,0.750153461049932,0.7269061583577713
100,80.0,q_raw,terminal_eta_translation,32,0.9816074551651766,0.6986803519061583
100,80.0,q_aligned,terminal_eta_raw,32,0.8125144197450319,0.5403225806451613
100,80.0,q_aligned,terminal_eta_shape,32,0.9742499774506895,0.873533724340176
100,80.0,q_aligned,terminal_eta_translation,32,0.7554519765376446,0.43841642228739
100,80.0,q_translation,terminal_eta_raw,32,0.9734404305365572,0.6957478005865102
100,80.0,q_translation,terminal_eta_shape,32,0.7112848055203503,0.6165689149560116
100,80.0,q_translation,terminal_eta_translation,32,0.9808262536738567,0.6532258064516129
100,80.0,xi_raw,terminal_eta_raw,32,0.9529400045225447,0.6697214076246334
100,80.0,xi_raw,terminal_eta_shape,32,0.6906737613868478,0.7012463343108504
100,80.0,xi_raw,terminal_eta_translation,32,0.9622019173987724,0.62683284457478
100,80.0,xi_aligned,terminal_eta_raw,32,0.8568356074809363,0.5685483870967741
100,80.0,xi_aligned,terminal_eta_shape,32,0.8390179771800976,0.6598240469208211
100,80.0,xi_aligned,terminal_eta_translation,32,0.8329364139984545,0.5128299120234603
100,80.0,xi_translation,terminal_eta_raw,32,0.9147052773960598,0.6248078683413347
100,80.0,xi_translation,terminal_eta_shape,32,0.5687863323189706,0.6080752267818699
100,80.0,xi_translation,terminal_eta_translation,32,0.9369299517830998,0.5867457056731016
100,80.0,abs_alignment_velocity_identity,terminal_eta_raw,32,0.09297164606879652,0.25549853372434017
100,80.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.16062311009743827,0.46187683284457465
100,80.0,abs_alignment_velocity_identity,terminal_eta_translation,32,0.08208196073202859,0.17925219941348972
100,80.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.584770125824594,0.13049853372434017
100,80.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.7592246953050809,0.2254398826979472
100,80.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.5374730227054156,0.12023460410557184
100,80.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.6583010758549483,0.3324780058651026
100,80.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.8252281753778716,0.3632697947214076
100,80.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.6097678492054114,0.30645161290322576
150,120.0,abs_displacement_drift_grid_points,terminal_eta_raw,32,0.8863237479605199,0.6143695014662756
150,120.0,abs_displacement_drift_grid_points,terminal_eta_shape,32,0.8058566681422646,0.36217008797653955
150,120.0,abs_displacement_drift_grid_points,terminal_eta_translation,32,0.8718395859620106,0.6044721407624634
150,120.0,eta_raw,terminal_eta_raw,32,0.9905235420456145,0.8980938416422286
150,120.0,eta_raw,terminal_eta_shape,32,0.8470909464434276,0.7467008797653958
150,120.0,eta_raw,terminal_eta_translation,32,0.979100644422806,0.847507331378299
