case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
0,0,0.1390679031610489,True,,,-0.14965293727537998,0.151647505400894,0.001343914036266081,0.0008723070259895582,0.0010223430878537015,0.5786958265513794,0.002280533797880271,0.003880167847915928,0.0,-1.8948628932546152,0.0034310449544267497,0.003983118650849949,0.0,-0.3477013718488353,251,0.9336645091743626,0.9163278315310187,-0.0009182589225243512,-0.0009072661825207238,-0.028598499613640863,0.027691233431120125,1.0992740003627419e-05,0.001791538083534155,4.034816942627349e-08,0.9996395945620202,,,,,,,,,,,,,,,,,,,,
1,1,0.04449146240949631,True,,,0.1539516120951735,0.1539516120951735,0.006357932361084071,0.002507720554986703,0.005842485902954088,0.8444297775313814,0.012133162115498886,0.004480099499183547,0.011275740835900439,0.8636587353511522,0.0032419774566064073,0.0021167779294053142,0.0024555384392688094,0.5736849975656667,251,0.8725773316155759,0.8346089926010244,0.0009446352608720753,0.0009350996543995593,0.13744123351286222,-0.1365061338584627,-9.535606472516056e-06,-0.0015540622392115218,7.027208124526164e-09,1.0,,,,,,,,,,,,,,,,,,,,
2,2,0.18546126782894135,True,,,0.18471769329193358,0.1890097133962662,0.002654411195604397,0.0021639043756841413,0.0015373407716719777,0.3354315349809964,0.02099187814201831,0.020909702897789484,0.001855605738167509,0.0078139174790393,0.0028848032779282065,0.0019739874081459927,0.0021036786030252793,0.5317731111016422,251,0.8251374073568406,0.7520690571049136,0.001133413570769514,0.0010855807698031362,-0.049745676705740684,0.0508312574755438,-4.783280096637768e-05,-0.007795534556907312,3.549446699146922e-08,0.9865581241113802,,,,,,,,,,,,,,,,,,,,
3,3,0.10717590153217316,True,,189.60000610351562,-0.8638341449800636,1.0629133290190278,0.008369158083491878,0.006386015593810589,0.005409400323703677,0.4177675496503734,0.024516385491578727,0.020087375859767023,0.014055265512972029,0.3286739053801205,0.006452979369846289,0.0023889694826991223,0.005994478088907665,0.862943180132775,251,0.945687913882153,0.8915727565926769,-0.005300419929276149,-0.005138311125841233,-0.07024741293439427,0.065109101808553,0.00016210880343491604,0.026419627402628414,5.0667715225673743e-08,0.9924199891570431,,,,,,,,,,,,,,,,,,,,
4,4,0.013775626197457314,True,,125.5999984741211,-1.9305448613259792,1.9305448613259792,0.2723515609194609,0.006652794579366797,0.2722702941188252,0.9994033103699632,0.5148935829351924,0.01022814634401492,0.5147919839801367,0.9996053983399497,0.04941852783881398,0.008567088530330698,0.04867027725284816,0.9699470643043567,251,0.9432413857609897,0.9364773287801176,-0.011845674909701606,-0.011870068697343073,0.03295141051205909,-0.04482147920940211,-2.4393787641466963e-05,-0.003975569289086417,5.614123554090314e-09,0.9987076068005261,188.8000030517578,,188.8000030517578,True,63.20000457763672,,,,,,,,,,,,,,,
5,5,0.2761293053627014,True,,82.4000015258789,-7.13347124657505,7.13347124657505,0.06579040536558593,0.007182202469031837,0.06539719723246519,0.9880823627229701,0.1301964233400617,0.013629717746866042,0.12948103893885518,0.9890408816503417,0.054428086408625155,0.006355188755383772,0.05405578753462214,0.9863663928120495,251,0.9970664504776552,0.997062416998672,-0.04377043137272305,-0.04376669795232643,-0.6929113499594053,0.6491446520070787,3.7334203966191137e-06,0.0006084529262203253,9.213836655448901e-08,0.9882767851794091,,,,,,,,,,,,,,,,,,,,
6,6,0.13313603401184082,True,,152.8000030517578,1.7215571482706735,1.7215571482706735,0.031250288739480915,0.001985822305013678,0.0311871296542955,0.9959619406284234,0.06171447131670821,0.003217318797109668,0.06163055110623761,0.9972822208231842,0.016230163087282846,0.001889401879925707,0.016119812479552357,0.9864480148017497,251,0.9846888004322619,0.9783084803642572,0.010563342362777622,0.010560557503349076,0.07037462157347235,-0.0598140640701233,-2.7848594285461575e-06,-0.0004538615233220525,2.1883436372960027e-08,0.9972996959868667,,,,,,,,,,,,,,,,,,,,
7,7,0.1449146568775177,True,,,-0.0629154286532892,0.07811737653222686,0.0026127710135714502,0.002579875227288935,0.0004132991422445115,0.025022247145104776,0.011480199204555798,0.01117879806478452,0.002613321182528744,0.05181872576298801,0.002479118315654509,0.0024755977615434953,0.00013207326017965383,0.002838149634922947,251,0.9224943314508521,0.9066029216467463,-0.00038604423526294166,-0.00037922725564836364,-0.03667344290713181,0.03629421565148344,6.816979614578025e-06,0.0011109949466795788,3.260279193737528e-08,0.9973708039714307,,,,,,,,,,,,,,,,,,,,
8,8,0.01546106394380331,True,,,-0.13026682921362276,0.20070034484199398,0.015913628614716215,0.005035909625641809,0.015095800407049732,0.8998577330586862,0.03003496815630524,0.00827092415549149,0.028873709941127708,0.9241677878870864,0.003853557155783042,0.0027428567199873784,0.0027067766377199963,0.4933796462123318,251,0.8822408272813002,0.8864147220641245,-0.0007993072532499092,-0.0007709688950081361,0.1253773806562582,-0.12614834955126625,2.833835824177309e-05,0.004618434348326031,3.579623344150168e-09,0.9992846990736042,,,,,,,,,,,,,,,,,,,,
9,9,0.04626735299825668,True,,,-0.25507174103783586,0.25507174103783586,0.012110792534192638,0.0059611478883387055,0.010542106604451084,0.7577216185941047,0.023379230812999054,0.008116391218457808,0.021925159680066766,0.8794782282523196,0.005809551990905591,0.005178861719032152,0.0026325435666249577,0.205336355279465,251,0.9963117844498088,0.9897985202048948,-0.0015651006011383267,-0.0015648556897423216,-0.011374124154031662,0.009809268464289369,2.4491139600504516e-07,3.991435191678936e-05,1.654849618353808e-08,0.993509311350937,,,,,,,,,,,,,,,,,,,,
