case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
11,1000011,0.011286163702607155,True,,120.0,-2.133406116008173,2.133406116008173,0.3620446552773992,0.01228877147876235,0.3618360381588235,0.9988478934245796,0.6675793814394949,0.023257659424699144,0.6671741240495043,0.9987862585499329,0.06283629591535811,0.017532699259349298,0.060340736994535155,0.9221468096568479,251,0.9518072858667939,0.944009865300702,-0.013090415978857054,-0.013058130103708888,0.0799246586544756,-0.09298278875818446,3.2285875148165694e-05,0.005261779580803429,7.926026415252088e-09,0.9996598865830998,156.0,,156.0,True,36.0,,,,,,,,,,,,,,,
16,1000016,0.03433812037110329,True,,80.80000305175781,5.210751811218721,5.210751811218721,0.33674756491835467,0.011257895916537176,0.3365593294769496,0.9988823507516865,0.6409982796556072,0.01909089509556719,0.6407139238739065,0.9991129688842315,0.0922477852248322,0.009177929338136987,0.09179008384325038,0.9901013145617087,251,0.9977990898186132,0.997236956934168,0.0319727726753993,0.03202437587603933,0.38843037798913455,-0.3564060021130953,5.1603200640029656e-05,0.008410014168292942,1.1520920559305337e-08,1.0,169.60000610351562,,170.39999389648438,True,88.80000305175781,,,,,,,,,,,,,,,
24,1000024,0.01549047976732254,True,,71.19999694824219,-15.597996307966724,15.597996307966724,1.141915937746801,0.5806727594488916,0.9832553866184336,0.7414201752263382,1.4778527275745748,0.5426375345492788,1.3746247453388472,0.8651790612521695,0.29553231442306666,0.19314795625212886,0.2236810583484441,0.572859959596812,251,0.9993818773956973,0.9975784481123124,-0.09570810666372848,-0.09577595939892396,0.6286911914656013,-0.7244671508645252,-6.785273519548107e-05,-0.011058276565674223,8.226750170676584e-08,0.8838212875317771,81.5999984741211,108.80000305175781,85.5999984741211,False,10.400001525878906,106.4000015258789,168.8000030517578,112.80000305175781,False,35.20000457763672,132.0,,144.8000030517578,False,60.80000305175781,166.39999389648438,,,False,95.19999694824219
29,1000029,0.01194613054394722,True,,79.19999694824219,-4.18892086915409,4.18892086915409,0.6926070621203521,0.020508491034316366,0.6923033614640915,0.9991232140468932,1.2131789879331196,0.039608174132072266,1.2125322467070112,0.9989340915975907,0.12142605649146966,0.02797855059024052,0.11815874026892356,0.946908298599039,251,0.9593340468133951,0.9604393853158792,-0.02570289654102238,-0.02567515351798221,-0.032606375367361266,0.0069312218493791135,2.7743023040170678e-05,0.004521409795231237,1.0914906772062741e-08,0.9903736820136851,100.80000305175781,,100.80000305175781,True,21.600006103515625,160.0,,160.0,True,80.80000305175781,,,,,,,,,,
