case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
4,4,0.013775626197457314,True,,125.5999984741211,-1.9305448613259792,1.9305448613259792,0.2723515609194609,0.006652794579366797,0.2722702941188252,0.9994033103699632,0.5148935829351924,0.01022814634401492,0.5147919839801367,0.9996053983399497,0.04941852783881398,0.008567088530330698,0.04867027725284816,0.9699470643043567,251,0.9432413857609897,0.9364773287801176,-0.011845674909701606,-0.011870068697343073,0.03295141051205909,-0.04482147920940211,-2.4393787641466963e-05,-0.003975569289086417,5.614123554090314e-09,0.9987076068005261,188.8000030517578,,188.8000030517578,True,63.20000457763672,,,,,,,,,,,,,,,
21,21,0.03339472413063049,True,,120.0,3.476964989701372,3.476964989701372,0.21564626242364715,0.03613780593341469,0.21259672970111126,0.9719172462408394,0.4337044778382322,0.036964392560548905,0.432126379407186,0.9927359414611634,0.09137251381639107,0.04626329957856419,0.07879494522639507,0.7436448409919865,251,0.22169442425872485,0.6267152343008916,0.021334389977411605,0.020707149295259814,0.36224998810499903,-0.3415428388097393,-0.000627240682151791,-0.10222433799453688,1.520898244257682e-08,0.9769029517505524,,,,,,,,,,,,,,,,,,,,
27,27,0.011606559157371521,True,,133.60000610351562,-3.5522342496216615,3.5522342496216615,0.6639909382001992,0.044010255265927084,0.6625308018827567,0.9956067747573305,1.1453015526537706,0.07850294289653124,1.1426079530914013,0.9953017926866944,0.11907023925042788,0.05519975903756753,0.10550217285605364,0.7850844145034838,251,0.9729107758448025,0.9786939859609182,-0.021796236371955983,-0.021608567284259,-0.6035110274675591,0.5819024601833,0.00018766908769698304,0.03058530608386176,1.4737196552003523e-08,1.0,142.39999389648438,,142.39999389648438,True,8.79998779296875,179.1999969482422,,180.0,True,45.59999084472656,,,,,,,,,,
